City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
130,Pontes E Lacerda,BR,74.62,overcast clouds,-15.2261,-59.3353,Hotel Bressan
133,Faanui,PF,77.59,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
140,Fredericksburg,US,73.31,broken clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
145,Cobija,BO,73.6,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
146,Ribeira Grande,PT,70.56,clear sky,38.5167,-28.7,Quinta da Meia Eira
150,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
151,Marsh Harbour,BS,82.27,few clouds,26.5412,-77.0636,Abaco Beach Resort
153,Filadelfia,US,75.45,light rain,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
159,Dongsheng,CN,76.46,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
161,Pampa,US,92.35,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
163,Victoria,HK,91.96,overcast clouds,22.2855,114.1577,Mini Central
167,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
169,Shellbrook,CA,78.03,clear sky,53.2168,-106.4011,Shellbrook Hotel
170,Heishan,CN,80.8,scattered clouds,41.6892,122.1128,Heishan Hotel
171,Acajutla,SV,79.25,overcast clouds,13.5928,-89.8275,Laureles
172,Shu,KZ,91.35,clear sky,43.5983,73.7614,Shyngyzkhan
175,Katsuura,JP,78.82,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
177,Mareeba,AU,75.43,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
179,Noumea,NC,75.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
185,Monrovia,LR,76.12,light rain,6.3005,-10.7969,Sunset Inn
187,Tongren,CN,94.41,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
192,Bac Lieu,VN,85.68,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
193,Almora,IN,78.64,few clouds,29.6167,79.6667,New Dolma
195,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
196,El Retorno,CO,72.25,scattered clouds,2.3302,-72.6276,Hostal la posada de Rita
197,Rantepao,ID,80.01,broken clouds,-2.9701,119.8978,Hotel Luta Resort
199,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
200,Porto Novo,BJ,75.0,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
201,Boyolangu,ID,81.39,broken clouds,-8.1181,111.8935,Yos ega cv
203,Kirakira,SB,84.49,few clouds,-10.4544,161.9205,SanBiz Lodge
205,Tautira,PF,75.33,light rain,-17.7333,-149.15,Pension Oaoa
206,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
208,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
209,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
210,Nanakuli,US,82.35,overcast clouds,21.3906,-158.1547,Camp Pālehua
212,Awjilah,LY,74.07,clear sky,29.1081,21.2869,المنزل
214,Tecoanapa,MX,77.11,overcast clouds,16.5167,-98.75,Hotel Manglares
215,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
220,Humberto De Campos,BR,75.47,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
223,Kawalu,ID,76.68,overcast clouds,-7.3817,108.2082,West Jontor
225,Esso,RU,76.73,clear sky,55.9333,158.7,Paramushir Tur
228,Khandyga,RU,86.22,overcast clouds,62.6667,135.6,Apel'sin
229,Mandalgovi,MN,72.7,broken clouds,45.7625,106.2708,В.Ганбат
230,Mozarlandia,BR,73.67,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
231,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
232,Aksu,CN,86.49,clear sky,41.1231,80.2644,Pudong Holiday Hotel
234,Mecca,SA,85.19,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
237,Karaton,ID,86.23,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
238,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
240,Port Keats,AU,83.86,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
241,Vila Franca Do Campo,PT,72.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
242,Hibbing,US,72.75,clear sky,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
243,Tabas,IR,90.18,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
244,Polis,CY,75.02,clear sky,35.0367,32.4264,Marion
247,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
250,Broome,US,70.0,broken clouds,42.2506,-75.833,Chenango Valley State Park
252,Ukiah,US,87.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
256,Parrita,CR,77.76,scattered clouds,9.5201,-84.3225,Beso del Viento
257,Dalby,AU,71.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
260,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
262,Chaibasa,IN,80.47,overcast clouds,22.5667,85.8167,Hotel Shifa Manor
263,Estevan,CA,78.22,few clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
265,Yinchuan,CN,86.11,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
266,Bontang,ID,84.16,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
268,Puli,TW,92.35,overcast clouds,23.9664,120.9695,牛耳藝術渡假村木屋區
270,Hasaki,JP,82.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
271,Fort Nelson,CA,74.79,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
