City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
163,Victoria,22.2855,114.1577,91.96,79,100,13.0,HK,overcast clouds
164,Pacific Grove,36.6177,-121.9166,64.81,86,40,10.36,US,scattered clouds
165,Bilibino,68.0546,166.4372,48.72,71,100,21.97,RU,overcast clouds
166,East London,-33.0153,27.9116,59.94,47,0,3.44,ZA,clear sky
167,Baghdad,33.3406,44.4009,84.11,24,0,12.66,IQ,clear sky
168,Berlevag,70.8578,29.0864,53.4,87,100,16.11,NO,light intensity drizzle
169,Shellbrook,53.2168,-106.4011,78.03,82,0,9.31,CA,clear sky
170,Heishan,41.6892,122.1128,80.8,61,33,3.06,CN,scattered clouds
171,Acajutla,13.5928,-89.8275,79.25,81,99,4.88,SV,overcast clouds
172,Shu,43.5983,73.7614,91.35,14,0,3.89,KZ,clear sky
173,Osa,57.2829,55.4567,68.81,71,0,3.89,RU,clear sky
174,Kruisfontein,-34.0033,24.7314,61.84,29,11,11.86,ZA,few clouds
175,Katsuura,35.1333,140.3,78.82,83,40,16.91,JP,scattered clouds
176,Barraute,48.4335,-77.6328,62.87,95,59,3.53,CA,broken clouds
177,Mareeba,-17.0,145.4333,75.43,68,26,6.89,AU,scattered clouds
178,Rostock,54.0887,12.1405,57.92,74,65,11.72,DE,broken clouds
179,Noumea,-22.2763,166.4572,75.18,99,65,16.82,NC,broken clouds
180,Svetlogorsk,52.6333,29.7333,54.1,90,77,4.85,BY,broken clouds
181,Iquique,-20.2208,-70.1431,53.64,74,5,4.59,CL,clear sky
182,Geraldton,-28.7667,114.6,63.01,67,100,17.27,AU,overcast clouds
183,Tiksi,71.6872,128.8694,38.93,84,86,8.43,RU,overcast clouds
184,Springbok,-29.6643,17.8865,54.3,34,2,8.79,ZA,clear sky
185,Monrovia,6.3005,-10.7969,76.12,85,100,11.12,LR,light rain
186,Khatanga,71.9667,102.5,67.53,42,29,5.5,RU,scattered clouds
187,Tongren,27.7172,109.1853,94.41,57,91,6.53,CN,overcast clouds
188,Tadine,-21.55,167.8833,71.55,61,63,19.08,NC,broken clouds
189,Yulara,-25.2406,130.9889,68.99,12,1,6.46,AU,clear sky
190,Honningsvag,70.9821,25.9704,51.55,87,100,16.11,NO,light rain
191,Hermanus,-34.4187,19.2345,61.41,51,2,4.56,ZA,clear sky
192,Bac Lieu,9.285,105.7244,85.68,71,24,12.15,VN,few clouds
193,Almora,29.6167,79.6667,78.64,65,14,1.57,IN,few clouds
194,Baykit,61.67,96.37,57.25,85,100,2.42,RU,light rain
195,Praia Da Vitoria,38.7333,-27.0667,71.85,83,75,6.22,PT,broken clouds
196,El Retorno,2.3302,-72.6276,72.25,98,47,1.72,CO,scattered clouds
197,Rantepao,-2.9701,119.8978,80.01,67,67,3.65,ID,broken clouds
198,Caravelas,-17.7125,-39.2481,69.08,93,3,4.18,BR,clear sky
199,Salalah,17.0151,54.0924,77.09,100,100,5.75,OM,light intensity drizzle
200,Porto Novo,6.4965,2.6036,75.0,88,100,6.96,BJ,light rain
201,Boyolangu,-8.1181,111.8935,81.39,74,79,10.8,ID,broken clouds
202,Loubomo,-4.1997,12.6739,65.77,90,45,3.6,CG,scattered clouds
203,Kirakira,-10.4544,161.9205,84.49,70,21,13.02,SB,few clouds
204,Leshukonskoye,64.8989,45.7622,64.6,62,1,5.79,RU,clear sky
205,Tautira,-17.7333,-149.15,75.33,75,68,23.53,PF,light rain
206,Avarua,-21.2078,-159.775,77.05,69,20,12.66,CK,few clouds
207,Edson,53.5835,-116.4356,64.54,72,20,4.61,CA,few clouds
208,Ponnani,10.767,75.9252,76.32,83,97,6.89,IN,overcast clouds
209,Isangel,-19.55,169.2667,77.11,69,75,13.8,VU,broken clouds
210,Nanakuli,21.3906,-158.1547,82.35,73,100,9.22,US,overcast clouds
211,Sangar,63.9242,127.4739,79.03,63,43,7.47,RU,light rain
212,Awjilah,29.1081,21.2869,74.07,60,0,7.94,LY,clear sky
213,Constitucion,-35.3333,-72.4167,46.36,79,99,4.07,CL,overcast clouds
214,Tecoanapa,16.5167,-98.75,77.11,89,100,5.68,MX,overcast clouds
215,Sakakah,29.9697,40.2064,81.97,21,2,4.18,SA,clear sky
216,Lensk,60.7253,114.9278,57.49,96,100,2.93,RU,light rain
217,Dikson,73.5069,80.5464,45.93,71,67,8.41,RU,broken clouds
218,Batagay,67.6333,134.6333,55.33,68,100,3.76,RU,overcast clouds
219,Cherskiy,68.75,161.3,43.18,85,99,18.95,RU,light rain
220,Humberto De Campos,-2.5983,-43.4611,75.47,92,86,4.09,BR,overcast clouds
221,Norman Wells,65.282,-126.8329,68.04,60,75,13.8,CA,broken clouds
222,Esperance,-33.8667,121.9,58.95,65,49,6.89,AU,scattered clouds
223,Kawalu,-7.3817,108.2082,76.68,89,99,3.71,ID,overcast clouds
224,Chokurdakh,70.6333,147.9167,47.28,43,47,19.26,RU,scattered clouds
225,Esso,55.9333,158.7,76.73,49,3,8.46,RU,clear sky
226,Saskylakh,71.9167,114.0833,60.66,53,92,13.42,RU,overcast clouds
227,Hay River,60.8156,-115.7999,69.78,60,7,5.75,CA,clear sky
228,Khandyga,62.6667,135.6,86.22,49,92,4.47,RU,overcast clouds
229,Mandalgovi,45.7625,106.2708,72.7,27,77,6.15,MN,broken clouds
230,Mozarlandia,-14.7447,-50.5706,73.67,41,9,2.95,BR,clear sky
231,Katherine,-14.4667,132.2667,77.32,36,77,13.8,AU,broken clouds
232,Aksu,41.1231,80.2644,86.49,25,0,6.06,CN,clear sky
233,Flin Flon,54.7682,-101.865,62.85,95,71,9.57,CA,broken clouds
234,Mecca,21.4267,39.8261,85.19,33,75,5.86,SA,broken clouds
235,Newport,51.5877,-2.9984,64.69,78,83,3.36,GB,broken clouds
236,Paris,48.8534,2.3488,67.14,62,0,8.05,FR,clear sky
237,Karaton,-6.3424,106.1045,86.23,65,92,2.8,ID,overcast clouds
